module_id,program_uid,education_plan_uid,course_code,course_name_sv,module_order,module_code,module_name_exact,credits_hp,grading_scale,related_learning_outcomes_exact,module_description_exact,source_file,confidence,notes
VGSSY_OMG402_MODULE_013,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",13,0022,"Tentamen, individuell (mål 5)",0.5,UG,5,"Tentamen, individuell (mål 5), 0,5 Högskolepoäng UG Tvågradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_014,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",14,0023,"Seminarium, individuell bedömning (mål 6,7)",1.0,UV,"6,7","Seminarium, individuell bedömning (mål 6,7), 1 Högskolepoäng UV Tregradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_015,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",15,0024,"Seminarium, individuell bedömning (mål 9,10, 31)",1.5,UV,"9,10, 31","Seminarium, individuell bedömning (mål 9,10, 31), 1,5 Högskolepoäng UV Tregradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_016,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",16,0025,"Tentamen, individuell (mål 14)",1.0,UV,14,"Tentamen, individuell (mål 14), 1,0 Högskolepoäng UV Tregradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_017,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",17,0026,"Klinisk färdighetsträning, individuell (mål 18)",1.5,UG,18,"Klinisk färdighetsträning, individuell (mål 18) 1,5 Högskolepoäng UG Tvågradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_018,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",18,0027,"Tentamen, individuell (mål 13)",0.5,UG,13,"Tentamen, individuell (mål 13) 0,5 Högskolepoäng UG Tvågradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_019,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",19,0028,"Seminarium, individuell bedömning (mål 32, 33)",1.0,UV,"32, 33","Seminarium, individuell bedömning (mål 32, 33), 1,0 Högskolepoäng UV Tregradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG403_MODULE_001,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",1,0001,"Seminarium, individuell bedömning (mål 1)",0.5,UG,1,"Seminarium, individuell bedömning (mål 1) 0.5 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_002,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",2,0002,"Klinisk examination, individuell (mål 2, 3, 23)",4.5,UG,"2, 3, 23","Klinisk examination, individuell (mål 2, 3, 23) 4.5 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_003,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",3,0003,"Muntlig examination, individuell (mål 4–6, 10)",3.0,UG,"4–6, 10","Muntlig examination, individuell (mål 4–6, 10) 3.0 hp UG",Kurs4_sskgrund_OMG403.pdf,high,
