alignment_id,module_id,course_code,module_code,learning_outcome_number,alignment_source_exact,source_file,confidence,notes
VGSSY_OMG403_MODULE_005_LO_14,VGSSY_OMG403_MODULE_005,OMG403,0007,14,14,Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_006_LO_24,VGSSY_OMG403_MODULE_006,OMG403,0009,24,24,Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_007_LO_25,VGSSY_OMG403_MODULE_007,OMG403,0010,25,25,Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_008_LO_30,VGSSY_OMG403_MODULE_008,OMG403,0013,30,30,Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_009_LO_36,VGSSY_OMG403_MODULE_009,OMG403,0016,36,36,Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_010_LO_11,VGSSY_OMG403_MODULE_010,OMG403,0017,11,"11, 12",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_010_LO_12,VGSSY_OMG403_MODULE_010,OMG403,0017,12,"11, 12",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_011_LO_09,VGSSY_OMG403_MODULE_011,OMG403,0019,9,"9, 13, 37",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_011_LO_13,VGSSY_OMG403_MODULE_011,OMG403,0019,13,"9, 13, 37",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_011_LO_37,VGSSY_OMG403_MODULE_011,OMG403,0019,37,"9, 13, 37",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_012_LO_08,VGSSY_OMG403_MODULE_012,OMG403,0020,8,8,Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_013_LO_26,VGSSY_OMG403_MODULE_013,OMG403,0021,26,"26, 28, 29",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_013_LO_28,VGSSY_OMG403_MODULE_013,OMG403,0021,28,"26, 28, 29",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_013_LO_29,VGSSY_OMG403_MODULE_013,OMG403,0021,29,"26, 28, 29",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_014_LO_27,VGSSY_OMG403_MODULE_014,OMG403,0022,27,27,Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_015_LO_35,VGSSY_OMG403_MODULE_015,OMG403,0023,35,35,Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_016_LO_15,VGSSY_OMG403_MODULE_016,OMG403,0024,15,"15-20, 33-34",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_016_LO_16,VGSSY_OMG403_MODULE_016,OMG403,0024,16,"15-20, 33-34",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_016_LO_17,VGSSY_OMG403_MODULE_016,OMG403,0024,17,"15-20, 33-34",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_016_LO_18,VGSSY_OMG403_MODULE_016,OMG403,0024,18,"15-20, 33-34",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_016_LO_19,VGSSY_OMG403_MODULE_016,OMG403,0024,19,"15-20, 33-34",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_016_LO_20,VGSSY_OMG403_MODULE_016,OMG403,0024,20,"15-20, 33-34",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_016_LO_33,VGSSY_OMG403_MODULE_016,OMG403,0024,33,"15-20, 33-34",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_016_LO_34,VGSSY_OMG403_MODULE_016,OMG403,0024,34,"15-20, 33-34",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_017_LO_21,VGSSY_OMG403_MODULE_017,OMG403,0025,21,21,Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_018_LO_22,VGSSY_OMG403_MODULE_018,OMG403,0026,22,"22, 32",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_018_LO_32,VGSSY_OMG403_MODULE_018,OMG403,0026,32,"22, 32",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG551_MODULE_001_LO_01,VGSSY_OMG551_MODULE_001,OMG551,0001,1,1,Kurs5_sskgrund_OMG551.pdf,high,
