outcome_id,program_uid,education_plan_uid,course_code,course_name_sv,outcome_order,outcome_category_if_stated,text_exact,verb_or_action,source_file,confidence,notes
VGSSY_OMG402_LO_01,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",1,Kunskap och förståelse,förklara grundläggande begrepp inom folkhälsa,förklara,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high_order_inferred_from_docx_list_numbering,DOCX plain-text extraction omits visible numbering; outcome_order assigned by list order.
VGSSY_OMG402_LO_02,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",2,Kunskap och förståelse,beskriva faktorer i samhället som påverkar folkhälsan och hälsoutvecklingen hos befolkningen samt förklara hur hälsofrämjande och sjukdomsförebyggande insatser kan tillämpas på individ- och gruppnivå,beskriva,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high_order_inferred_from_docx_list_numbering,DOCX plain-text extraction omits visible numbering; outcome_order assigned by list order.
VGSSY_OMG402_LO_03,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",3,Kunskap och förståelse,"förklara patofysiologi, symtom och diagnos samt motivera vård och behandling vid vanligt förekommande folksjukdomar och folkhälsoproblem",förklara,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high_order_inferred_from_docx_list_numbering,DOCX plain-text extraction omits visible numbering; outcome_order assigned by list order.
VGSSY_OMG402_LO_04,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",4,Kunskap och förståelse,reflektera kring smärtanalys och vård vid behandling av smärta,reflektera,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high_order_inferred_from_docx_list_numbering,DOCX plain-text extraction omits visible numbering; outcome_order assigned by list order.
VGSSY_OMG402_LO_05,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",5,Kunskap och förståelse,"förklara definitioner, centrala begrepp, författningar, handlingsplaner samt organisering för säker vård",förklara,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high_order_inferred_from_docx_list_numbering,DOCX plain-text extraction omits visible numbering; outcome_order assigned by list order.
VGSSY_OMG402_LO_06,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",6,Kunskap och förståelse,"beskriva processers, ledarskapets, teamets och organisationens betydelse för säker vård",beskriva,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high_order_inferred_from_docx_list_numbering,DOCX plain-text extraction omits visible numbering; outcome_order assigned by list order.
VGSSY_OMG402_LO_07,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",7,Kunskap och förståelse,"redogöra för samspelet mellan människa, teknik, organisation och information",redogöra,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high_order_inferred_from_docx_list_numbering,DOCX plain-text extraction omits visible numbering; outcome_order assigned by list order.
VGSSY_OMG402_LO_08,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",8,Kunskap och förståelse,"identifiera tecken på mäns våld mot kvinnor och våld i nära relationer, kunna beskriva våldets möjliga orsaker och konsekvenser samt relatera till gällande lagstiftning och riktlinjer inom området",identifiera,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high_order_inferred_from_docx_list_numbering,DOCX plain-text extraction omits visible numbering; outcome_order assigned by list order.
VGSSY_OMG402_LO_09,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",9,Kunskap och förståelse,redogöra för och reflektera över genusperspektiv och hur det kan påverka folkhälsa,redogöra,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high_order_inferred_from_docx_list_numbering,DOCX plain-text extraction omits visible numbering; outcome_order assigned by list order.
VGSSY_OMG402_LO_10,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",10,Kunskap och förståelse,redogöra för och reflektera över professionsetikens uttryck och betydelse i patientmötet inom primärvård,redogöra,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high_order_inferred_from_docx_list_numbering,DOCX plain-text extraction omits visible numbering; outcome_order assigned by list order.
