exam_id,exam_source,program_uid,education_plan_uid,course_code,course_name_sv,module_code_if_stated,module_name_if_stated,credits_hp_if_stated,exam_order,examination_text_exact,examination_category,grading_scale_if_stated,related_learning_outcomes_if_stated,source_file,confidence,notes
VGSSY_MVG201_EXAM_MODULE_0010,module_table,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,0010,"Skriftlig examination, grupp med individuell bedömning (mål 11)",2.0,10,"Skriftlig examination, grupp med individuell bedömning (mål 11)",written,UV,11,Kurs1_sskgrund_MVG201.pdf,high,"Derived from module table; module table is treated as authoritative for hp, grading scale and learning-outcome linkage."
VGSSY_MVG201_EXAM_MODULE_0011,module_table,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,0011,"Klinisk färdighetsträning, individuell (mål 13, 14)",2.0,11,"Klinisk färdighetsträning, individuell (mål 13, 14)",practical_skills_assessment,UG,"13, 14",Kurs1_sskgrund_MVG201.pdf,high,"Derived from module table; module table is treated as authoritative for hp, grading scale and learning-outcome linkage."
VGSSY_MVG201_EXAM_MODULE_0012,module_table,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,0012,"Laboration, individuell (mål 15)",0.5,12,"Laboration, individuell (mål 15)",other,UG,15,Kurs1_sskgrund_MVG201.pdf,high,"Derived from module table; module table is treated as authoritative for hp, grading scale and learning-outcome linkage."
VGSSY_MVG201_EXAM_MODULE_0013,module_table,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,0013,"Klinisk examination, individuell (mål 16)",1.0,13,"Klinisk examination, individuell (mål 16)",clinical_examination,UG,16,Kurs1_sskgrund_MVG201.pdf,high,"Derived from module table; module table is treated as authoritative for hp, grading scale and learning-outcome linkage."
VGSSY_MVG201_EXAM_MODULE_0014,module_table,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,0014,"Tentamen, individuell (mål 17)",1.5,14,"Tentamen, individuell (mål 17)",written_exam,UG,17,Kurs1_sskgrund_MVG201.pdf,high,"Derived from module table; module table is treated as authoritative for hp, grading scale and learning-outcome linkage."
VGSSY_MVG201_EXAM_MODULE_0015,module_table,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,0015,"Skriftlig examination, individuell (mål 18-20)",3.0,15,"Skriftlig examination, individuell (mål 18-20)",written,UV,18-20,Kurs1_sskgrund_MVG201.pdf,high,"Derived from module table; module table is treated as authoritative for hp, grading scale and learning-outcome linkage."
VGSSY_MVG201_EXAM_MODULE_0016,module_table,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,0016,"Seminarium, individuell bedömning (mål 21)",1.0,16,"Seminarium, individuell bedömning (mål 21)",seminar,UG,21,Kurs1_sskgrund_MVG201.pdf,high,"Derived from module table; module table is treated as authoritative for hp, grading scale and learning-outcome linkage."
VGSSY_MVG201_EXAM_MODULE_0017,module_table,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,0017,"Seminarium, individuell bedömning (mål 22)",1.0,17,"Seminarium, individuell bedömning (mål 22)",seminar,UG,22,Kurs1_sskgrund_MVG201.pdf,high,"Derived from module table; module table is treated as authoritative for hp, grading scale and learning-outcome linkage."
VGSSY_OMG401_EXAM_MODULE_0001,module_table,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,0001,"Seminarium, individuell bedömning (mål 1)",0.5,1,"Seminarium, individuell bedömning (mål 1)",seminar,UG,1,Kurs2_sskgrund_OMG401.pdf,high,"Derived from module table; module table is treated as authoritative for hp, grading scale and learning-outcome linkage."
VGSSY_OMG401_EXAM_MODULE_0002,module_table,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,0002,"Seminarium, individuell bedömning (mål 2)",0.5,2,"Seminarium, individuell bedömning (mål 2)",seminar,UG,2,Kurs2_sskgrund_OMG401.pdf,high,"Derived from module table; module table is treated as authoritative for hp, grading scale and learning-outcome linkage."
