content_id,lineage_uid,lineage_confidence,course_family_id,course_uid,course_version,is_current,program,education_level,course_code,course_name_sv,content_order,text_exact,content_area_candidate,explicit_terms,source_file,confidence,notes
OMA081_v01_CONTENT_006,OMA081_CONTENT_006,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,6,+ intensivvårdssjuksköterskans kompetens och ansvarsområde,missing,missing,Kurs1_IVA_OMA081.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA081_v01_CONTENT_007,OMA081_CONTENT_007,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,7,+ personcentrerad omvårdnad i samband med intensiv- och,missing,missing,Kurs1_IVA_OMA081.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA081_v01_CONTENT_008,OMA081_CONTENT_008,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,8,postoperativ vård,missing,missing,Kurs1_IVA_OMA081.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA081_v01_CONTENT_009,OMA081_CONTENT_009,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,9,+ omhändertagande vid akuta tillstånd/sjukdomar,missing,missing,Kurs1_IVA_OMA081.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA081_v01_CONTENT_010,OMA081_CONTENT_010,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,10,"+ vårdhygien, vårdrelaterade infektioner och antibiotikaresistens",vårdhygien,vårdhygien; antibiotikaresistens,Kurs1_IVA_OMA081.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA081_v01_CONTENT_011,OMA081_CONTENT_011,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,11,+ klinisk färdighetsträning i A-E och luftvägshantering,missing,missing,Kurs1_IVA_OMA081.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA081_v01_CONTENT_012,OMA081_CONTENT_012,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,12,"+ etiologi, patofysiologi, diagnostik och behandling vid specifika",missing,missing,Kurs1_IVA_OMA081.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA081_v01_CONTENT_013,OMA081_CONTENT_013,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,13,sjukdomstillstånd,missing,missing,Kurs1_IVA_OMA081.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA081_v01_CONTENT_014,OMA081_CONTENT_014,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,14,+ specifik farmakologi,läkemedel/farmakologi,farmakologi,Kurs1_IVA_OMA081.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA081_v01_CONTENT_015,OMA081_CONTENT_015,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,15,"+ nutrition, vätske-, blod- och elektrolytbalans",missing,missing,Kurs1_IVA_OMA081.pdf,medium,extraction_method=ocr_swe_70dpi_cached
